	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
6522	"The Monsanto Corporation produces the new corn called High-Lysine Corn LY038.Monsanto scientists have altered the corn to contain higher levels of the amino acid lysine than is found in other corn varieties.While lysine itself isn't a health risk, if the LY038 variety is cooked with sugars also found in the corn, compounds called AGE's are produced which are implicated in causing Alzheimer's disease, diabetes, and several other health conditions.Even though Monsanto states that LY038 is intended only for animal feed, they made application for approval as a human food so they do not have to keep the altered corn separate from edible corn.The real problem is the government's food agency made no effort to test what the health impact would be if the LY038 were to enter the human food supply."	Monsanto	Monsanto	ORG	water	0.761333774	water	0.78125
6523	"""The key difference between the use of corn as an animal feed and a human food is cooking and processing, and FSANZ has made no attempt to assess food hazards resulting from cooking or processing of LY038,"" said INBI Director and University of Canterbury Associate Professor Jack Heinemann.He said LY038 corn was substantially different to conventional corn in that it has high concentrations of compounds that are known to produce food hazards when heated with the sugars found in corn."	Food Standards Australia New Zealand	Food Standards Australia New Zealand	ORG	water	0.761333774	water	0.80625
6531	"CLARENCE, N.Y.--(BUSINESS WIRE)--22nd Century Group, Inc. (NYSE MKT: XXII), a plant biotechnology company that is focused on reducing the harm caused by smoking, announced today that the Company has received written feedback from the Center for Tobacco Products (CTP) of the U.S. Food and Drug Administration (FDA) on the Companyâ€™s â€œBRAND Aâ€ù Modified Risk Tobacco Product (MRTP) application."	CLARENCE	N.Y.--(BUSINESS WIRE)--22nd Century Group	PERSON	cancer	0.876302083	cancer	0.7578125
6540	"USAID announced a pledged contribution of $15 million to the United Nations Children's Fund to educate children in crisis-affected countries and refugee children in Cameroon, Chad, Djibouti, Egypt, Ethiopia, Kenya, Rwanda, Tanzania, and Uganda."	USAID	USAID	ORG	children	0.71875	children	0.7578125
6547	Research reveals that 7% of cod and haddock - the deep-fried staples of British fish and chips - actually turn out to be cheaper fish substituted to cut costs.. .	authority	authority	authority	fish	0.853400735	fish	0.7578125
6549	The latest market analysis by Hybu Cig Cymru (Meat Promotion Wales-HCC) has revealed that in 2015 despite some cumbersome hurdles to climb production of both Beef and Sheep meat increased over the 12 month period.. .	Hybu Cig Cymru	Meat Promotion Wales	PERSON	meat	0.858035714	meat	0.80625
6550	"â€œDairy farmers in Wisconsin work tirelessly every day to ensure that their milk meets high standards for nutritional value and quality,â€ù Senator Tammy Baldwin, who introduced the Dairy Pride Act, said in a press release.. ."	Tammy Baldwin	the Dairy Pride Act	PERSON	milk	0.893262698	milk	0.7578125
6556	"Mark Schlosberg, national organizing director for the advocacy group Food & Water Watch, said NestlÃ©'s plans to adjust its processes to save water don't eliminate concerns about effects on water supplies.. ."	Mark Schlosberg	Food & Water Watch	PERSON	water	0.809093707	water	0.7578125
6561	Harvey Beef CEO Michael Hughes said the processor was delighted that Minderoo acquired Harvey Beef and will continue to invest in the highest quality beef processing.. .	Harvey Beef	unknown	PERSON	meat	0.811011905	meat	0.7578125
6562	"""What we're learning is that a body that exercises regularly is generally a healthy body, whether that body is fat or thin,"" says Glenn Gaesser, PhD, a professor of exercise and wellness at Arizona State University and the author of Big Fat Lies: The Truth About Your Weight and Your Health."	Glenn Gaesser	Arizona State University	PERSON	fat	0.718032416	fat	0.80625
6563	"Hormel, one of the leading meat processors in the industry, said the report ignored the health benefits of meat, noting that the ""very important nutrients in meat far outweigh any theoretical hazard.""."	Hormel	Hormel	ORG	meat	0.775201613	meat	0.7578125
6566	"For its part, the WHO said red meat still has ""nutritional value"" but added that its finding is important for public health because processed meat is so widely consumed.. ."	World Health Organization	World Health Organization	ORG	meat	0.730574324	meat	0.80625
6567	"For its part, the WHO said red meat still has ""nutritional value"" but added that its finding is important for public health because processed meat is so widely consumed.. ."	World Health Organization	World Health Organization	ORG	meat	0.775201613	meat	0.80625
6574	"The North American Meat Institute said Americans and Canadians spent $654 per capita on meat and poultry in 2013, its most recent year for statistics."	The North American Meat Institute	The North American Meat Institute	ORG	meat	0.730574324	meat	0.7578125
6575	"The North American Meat Institute said Americans and Canadians spent $654 per capita on meat and poultry in 2013, its most recent year for statistics."	The North American Meat Institute	The North American Meat Institute	ORG	meat	0.775201613	meat	0.7578125
6588	"The Zimbabwe National Water Authority (ZINWA), a government department under the water ministry, says up to 70 per cent of the population resides in the rural areas where the primary sources of water are boreholes and wells."	The Zimbabwe National Water Authority	The Zimbabwe National Water Authority	ORG	water	0.850596783	water	0.7578125
6601	"And then we have a chocolate and toasted coconut, because coconut is so hot this year,â€ù and finally, a pretzel and dark chocolate combination that will satisfy â€œthat sweet and salty combination everyone lovesâ€ù and provide consumers access to the health benefits of dark chocolate, Mains said.. ."	Sheila Mains	unknown	PERSON	seeds	0.888487041	seeds	0.838541667
6605	"Wada suggests creating awareness by putting water labels, along the lines of food labels, â€œshowing how much water is used domestically and internationally in produce and whether these water amounts are from sustainable or non-sustainable sourcesâ€ù.. ."	Yoshihide Wada	unknown	PERSON	water	0.808819083	water	0.7578125
6608	"â€œIf Zambia does not want to import milk and milk products from Kenya, the Zambian government is free to ask for a safeguard from COMESA to protect and limit the importation of the commodities to ensure that the local milk producers and suppliers are not suppressed,â€ù Dr Mangeni said."	Dr Mangeni	unknown	PERSON	milk	0.903125	milk	0.7578125
6625	"Beer and food pairing is also on the rise: The BA reported that among craft beer drinkers, 73 percent said that when making beer purchasing decisions, â€œcomplementing a mealâ€ù is either a â€œvery importantâ€ù or â€œsomewhat importantâ€ù selection criteria while dining out; and 63 percent said they select beer based on the food or meal theyâ€™re planning to eat.. ."	the Brewers Association	the Brewers Association	ORG	beer	0.890046296	beer	0.80625
6628	"But Dibadj thinks craft's potential on soda may be more limited, since soda's problem for most people isn't taste, but the calories.. ."	Ali Dibadj	unknown	PERSON	sugar	0.727926265	sugar	0.7578125
6630	"""The U.S. rice industry is still reeling from the release of Bayer CropScience's genetically engineered LibertyLink rice into U.S. Delta-region rice fields,"" USA Rice Producers' Group Chairman Paul Combs said."	Paul Combs	unknown	PERSON	rice	0.884191176	rice	0.80625
6631	"....the FDA claimed that â€œno parmesan cheese was used to manufactureâ€ù three Castle brands of Parmesan sold in 3,400 retail stores across 30 states: Best Choice 100% Grated Parmesan Cheese, sold by Associated Wholesale Grocers Inc., Market Pantry brand 100% grated Parmesan Cheese, sold at Target Corp. stores, and Always Save Grated Parmesan Cheese.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	cheese	0.88125	cheese	0.80625
6637	"The FDA said digital Abilify is approved for the treatment of schizophrenia, bipolar disorder and as an add-on treatment for depression in adults."	the Food and Drug Administration	the Food and Drug Administration	ORG	stress	0.71875	stress	0.7578125
